Aldous Huxley
Karin Cook
James Carville
Bailey White
Alice Leccese Powers
Chris Bohjalian
George Foreman
Eric Hansen
Jonathan Harr
Andrew Vachss
Rick Bragg
Boris Pasternak
Haruki Murakami
Roberto Calasso
Anne Michaels
Sebastian Faulks
Michael Ondaatje
Jeanette Winterson
Dorothy Dunnett
Dorothy Dunnett
Dorothy Dunnett
Dorothy Dunnett
Dorothy Dunnett
Dorothy Dunnett
Arturo Perez-Reverte
T.R. Reid
Alain De Botton
Steven Millhauser
Bernhard Schlink
Ethan Hawke
Piri Thomas
Bret Easton Ellis
Richard Bernstein
Jane Austen
Angela Nissel
Elizabeth Lesser
Hunter S. Thompson
Roberta Edwards
Tamora Pierce
Tamora Pierce
Norma Kassirer
Wyatt Blassingame
Lisa Norby
Megan Stine
Dr. Seuss
Jeff Moss
Suzanne Fisher Staples
Joyce Milton
Robert Arthur
Neil Grant
Rev. W. Awdry
Gloria Whelan
Deborah Hautzig
Mary Pope Osborne
Mary Pope Osborne
Philip Pullman
Stan Berenstain
Monica Furlong
Stan Berenstain
Barbara Park
Stan Berenstain
Robert Newton Peck
Alice Hart
J.R. Black
Stan Berenstain
Molly Coxe
Suzanne Fisher Staples
Stan Berenstain
Barbara Park
Marc Brown
Mordecai Richler
Cynthia Alvarez
Carol Ellis
Stan Berenstain
Philip Pullman
Philip Pullman
Philip Pullman
Dr. Seuss
Dr. Seuss
Tamora Pierce
Mary Pope Osborne
Dick King-Smith
Jane Hissey
Marc Brown
Felicity Trotman
Douglas Hill
Jerry Spinelli
Jerry Spinelli
Jerry Spinelli
Tamora Pierce
Mary Stolz
Monica Furlong
Mark Garland
George Edward Stanley
Dr. Seuss
Wendelin Van Draanen
Philip Pullman
Stan Berenstain
Dr. Seuss
Jerry Spinelli
Stan Berenstain
Douglas Adams
Michael Heatley
Anita Mills
Neil Shulman
Robert A. Heinlein
Laura Siegel Gilberg
F. Scott Fitzgerald
Ernest Hemingway
Ernest Hemingway
Howard Shaw
F. Scott Fitzgerald
Ernest Hemingway
P. D. James
Ernest Hemingway
Arthur W. Upfield
Mary Wesley
Joy Williams
Robert Barnard
Patricia Calvert
Patricia Cornwell
E. Annie Proulx
Patricia Cornwell
Philip R. Craig
Lewis Thomas
Michael Grant
Patricia Cornwell
E. Annie Proulx
Patricia Cornwell
Patricia Cornwell
Janet Evanovich
Deborah Crombie
Susan Wittig Albert
Martin Buber
F. Scott Fitzgerald
F. Scott Fitzgerald
Alan Paton
Alan PATON
Ernest Hemingway
E. Annie Proulx
Jeff Gomez
Jack Finney
Ernest Hemingway
Edith Wharton
Edward M. Hallowell
Deborah Crombie
Ernest Hemingway
F. Scott Fitzgerald
F. Scott Fitzgerald
F. Scott Fitzgerald
Stephen R. Covey
Richard S. Beaser
Paula Jhung
Clive Cussler
Clive Cussler
Elizabeth Kuster
William J. Bennett
Andrei Codrescu
Ernest Hemingway
Sherry Turkle
Kinky Friedman
Josephine Tey
Josephine Tey
Mary Higgins Clark
Tad Richards
Elsa Walsh
Thomas Wolfe
F. Scott Fitzgerald
James Fox
Ben Bradlee
Mary Higgins Clark
Mary Higgins Clark
Peter Blauner
Christopher Moore
Alice Rhea
Jane Bryant Quinn
Joseph Girzone
Joseph Girzone
Joseph F. Girzone
Judy Carter
David McCullough
Mei Ng
Cheryl Mendelson
Evan Harris
Josephine Tey
Darcy Frey
Kate Kelly
Bo Links
Richard Paul Evans
Richard Goldstein
Jack Finney
Irma S. Rombauer
James W. Loewen
Ernest Hemingway
Sylvia Nasar
Christian Jacq
Janet Evanovich
Pam Proctor
Ernest Hemingway
John Maddox
C.S. Lewis
C. S. Lewis
C. S. Lewis
C.S. Lewis
Leonard C. Lewin
Bash Dibra
Joe Coomer
Edith Wharton
F. Scott Fitzgerald
Adele Faber
Doris Kearns Goodwin
Ernest Hemingway
Joseph Girzone
Harry Crews
Hillary Rodham Clinton
A'Lelia Bundles
Chris Bohjalian
Cathie Pelletier
Gail Twersky Reimer
A.M. Homes
David Quammen
Jaime O'neill
Lynda Barry
Jim Grimsley
Ursula Hegi
Margaret Mitchell
Julie Taylor
Ivan Doig
Jose Raul Bernardo
Annie Proulx
Jesse Hunter
Kay Redfield Jamison
Kay Allenbaugh
Mary Higgins Clark
Mary Higgins Clark
Paul Monette
Ivan Doig
Joseph Heller
John Knowles
Mark Kistler
Sark
Stanley Kaplan
Donald Crawford
David H. Maister
Richard Paul Evans
Richard Paul Evans
Robert Buderi
Michael Dorris
Marjorie Garber
Daniel Yergin
The Duchess Of York Sarah
Mary Higgins Clark
Mary Higgins Clark
Mary Higgins Clark
Ingrid Newkirk
James Finn Garner
Candace Gingrich
Allen Frances M.D.
Erika Lopez
Diane Mckinney-whetstone
Donna Marie Williams
Cynthia Harrod-Eagles
Jan Werner
Ann Powers
Jane Stern
Ernest Hemingway
Lindsy Van Gelder
Lesley Hazleton
Kenneth Koch
Kathy Reichs
Joseph Heller
Iyanla Vanzant
Iyanla Vanzant
Tommy Tune
James S Thayer
Frank McCourt
Marianne Williamson
Ellen Goodman
Elizabeth Powers
Frank McCourt
Martha Williamson
Tom Gardner
Catherine Clinton
Ursula Hegi
Ursula Hegi
Ursula Hegi
Judith Viorst
Pamela Thomas-Graham
Wes Craven
Antonya Nelson
Laurie Fox
Josephine Tey
Doris Kearns Goodwin
Iyanla Vanzant
David Gardner
Judith Viorst
John Kulka
Jennifer Moses
Jacqueline Park
M. Scott Peck
Frank McCourt
Kay Allenbaugh
Linda Fairstein
Paco Underhill
Cynthia Heimel
Robin Maxwell
Michael Drosnin
Robert Hellenga
Brad Gooch
Asha Bandele
Robert Cohen
Andrew Morton
Mary Gordon
Natalia Ilyin
Annie Proulx
Bob Smith
Hanif Kureishi
Charles A. Lindbergh
Gene Weingarten
Molly Giles
Lilian Nattel
Iain Banks
David M. Friedman
Colleen McCullough
Stephen King
Stephen King
Stephen King
David Breashears
Lydia Y Minatoya
Sylvia Nasar
David Brooks
Larry McMurtry
Joan Druett
Pagan Kennedy
Ursula Hegi
Christopher Moore
Ed McBain
Laurie Fox
Jeffery Deaver
Bill McKibben
Sandra Gulland
Sean Covey
Christina Bartolomeo
Daniel Pinkwater
Hunter S. Thompson
Mary Higgins Clark
Amer Assoc Of Colleges Of
Stacey Richter
James Carville
Alice Sebold
John Mclaren
Hesper Anderson
Robert Stone
John Le Carre
Michael S Lief
Peter Hedges
Kathy Reichs
SARK
SARK
Thomas M. Disch
Iyanla Vanzant
Tim Page
Catherine Hyde
Anouchka Grose Forrester
Barry Strauss
Leslie Marmon Silko
Adrian Nicole LeBlanc
Claude Brown
Barbara Delinsky
Roxana Robinson
Helen Ellis
Binnie Kirshenbaum
Barbara Delinsky
Magnus Mills
Emma Forrest
Henry Porter
Ernest Hemingway
Frank McCourt
Jean Kilbourne
Karen Rauch Carter
Stephen E. Ambrose
Witold Rybczynski
Nicholas Rinaldi
Iyanla Vanzant
Michael Baden
Stephen King
Greg Nagan
Leo Marks
Richard Paul Evans
Reynolds Price
Sarah Vowell
Mary Farrell
Christin Lore Weber
Larry McMurtry
Richard Paul Evans
Al Roker
Jeanne Kalogridis
Kate Walbert
Erika Lopez
Julie Parsons
Alice Elliott Dark
William Molnar
Kay Allenbaugh
Stedman Graham
Cynthia Richmond
Graham Greene
Jeffery Deaver
Tadahiko Nagao
Judith Miller
Frank McCourt
Frank McCourt
Martin Cruz Smith
Dr. Pedro Jose Greer Jr.
Ursula Hegi
Paule Marshall
Jennet Conant
Stan Lee
Ardella Garland
Michael Cunningham
Frank McCourt
Martha J. Beckman
John B Jr Cobb
Robert M. Pirsig
Robin Mckinley
Marian Potter
Yuri Rubinsky
Alfred Noyes
Ross Terrill
Mary Stewart
Jeff Smith
Sidney Sheldon
Robert M. Pirsig
Sol Stein
Ruth Baetz
Beverly Cleary
Barbara Bush
Robert T. Bakker
Howard Cosell
Donald J. Sobol
Ken Follett
Ken Follett
Albert Goldman
Marcia Muller
V. A. Howard
Richard M Weaver
Caroline Sutton
Donald J. Sobol
Aliki
Gail Godwin
Sidney Sheldon
James Clavell
Earl W. Emerson
Norma Fox Mazer
Joyce Egginton
Richard Bach
Sidney Sheldon
Peter Jenkins
Piers Anthony
Lynne Withey
Joy Fielding
PhD. Riaz Khadem
Victoria Magazine
Mary Joan Oexmann
Dell Shannon
Charles Dickinson
Kenneth C. Davis
David Halberstam
June Vendall Clark
Robin McKinley
Joanna Cole
Terry Farish
Fred J.
Lester C. Thurow
Winnie Smith
Viana LA Place
Mayo Clinic
Peter F. Stevens
David K Reynolds
Lilian Lee
Good Housekeeping Institute
Raymond E. Feist
Bari Wood
Diana Wynne Jones
Joy Fielding
Richard Bach
Carole Bloom
Lawrence Block
Hal Rosenbluth
Diana Wynne Jones
Diana Wynne Jones
A. M. Monson
Kevin Henkes
Nikki Giovanni
Elan Golomb
Bartholomew Gill
Yankee Magazine
Joshua Quittner
Faye Kellerman
Faye Kellerman
Victoria Magazine
Katherine Hall Page
Katherine Hall Page
Bill Bryson
Vera B. Williams
Susan Richards Shreve
Joseph Finder
Paul Reiser
Christina Baker Kline
Cokie Roberts
Whoopi Goldberg
Barbara Cohen
Dennis Lehane
Robin McKinley
Joshua Levine
Carol Adrienne
Kim Mclarin
Jon Stewart
Rumer Godden
Faye Kellerman
Faye Kellerman
Faye Kellerman
Tim Burton
Jodi Picoult
Dale Furutani
Waris Dirie
Ron Naveen
Tom Steele
Ethan Coen
Iris R. Dart
Louis Sachar
Janine M. Benyus
Becky A. Bailey
Sidney Sheldon
Dennis Lehane
Robert Westall
Joyce Goldstein
Ken Foster
Emeril Lagasse
Brian Hodge
Cindy Walker
Charles L. Calia
Lora Brody
Amanda Davis
Amanda Davis
Tim Dorsey
Alice Mattison
Yossi K. Halevi
Cokie Roberts
Jodi Picoult
Lynne S. Schwartz
Kathy Lette
Sandra Bernhard
Sena Jeter Naslund
Judith Reichman
Loraine Despres
Beth Gutcheon
Karin Slaughter
John Searles
Terry Kay
Antwone Q. Fisher
Hulton Getty
Gillian Chapman
Jodi Picoult
Ann B. Ross
Edith H. Beer
Sena Jeter Naslund
Alice Mattison
Lynne S. Schwartz
Dan Rather
Amanda Davis
Peter Sis
A. Manette Ansay
Marian Keyes
N. Richard Nash
John Howlett
Buechner
H. F. Saint
Ursula LeGuin
Susan Cooper
Graham Oakley
Robert C. O'Brien
Naylor
Willo Davis Roberts
Cynthia D. Grant
Cynthia Voigt
Barbara Corcoran
Tamora Pierce
Clare Bell
Susan Cooper
Susan Cooper
Susan Cooper
Julie Brinckloe
Robert C. O'Brien
Susan Cooper
Susan Cooper
Susan Cooper
Susan Cooper
Elizabeth Sachs
Elizabeth Coatsworth
Marguerite Henry
Marguerite Henry
Margaret Peterson Haddix
Marguerite Henry
Cynthia Voigt
Susan Hightower
Deborah Howe
Marguerite Henry
Joanne Barkan
George E. Stanley
Jules Verne
Stephanie St. Pierre
Carol Fenner
George E. Stanley
E. L. Konigsburg
Anonymous
Andrew Clements
Dean Hughes
Kathleen Duey
Ellen Datlow
Luke David
Angela C. Santomero
Robert C. O'Brien
Margaret Peterson Haddix
Heidi E. Y. Stemple
Richard Paul Evans
Becky Gold
Lois Ruby
Margaret Peterson Haddix
Naomi Shihab Nye
Kenneth Oppel
Sherryl Jordan
Angela C. Santomero
Gary Paulsen
Carol Ryrie Brink
Susan Cooper
Margaret Peterson Haddix
Kenneth Grahame
Linda Ashman
Stephanie True Peters
Vladimir Radunsky
Doreen Cronin
Kenneth Oppel
Cynthia MacGregor
James Howe
Kathleen Duey
Sir Arthur Conan Doyle
Peter Clover
Peter Clover
Andrew Clements
Holly Black
Charles Dickens
Annie Auerbach
Steven Banks
Sharon M. Draper
Kathleen Duey
Janet Lee Carey
Frances Hodgson Burnett
Lori Aurelia Williams
Charles M. Schulz
Lucy  Maud Montgomery
E.L. Konigsburg
Marc Aronson
Laurie Halse Anderson
Margaret Peterson Haddix
Michael Rosen
Lauryn Silverhardt
Cathy Hopkins
Cathy Hopkins
Erin Gobragh
Apolo  Anton Ohno
Jeff Mariotte
Jack London
Joss Whedon
Holly Black
Holly Black
Cathy Hopkins
Anne McCaffrey
Rachel Cohn
Sandra Boynton
Nancy Holder
E.L. Konigsburg
Lesl̩a Newman
Cameron Dokey
Meg Cabot
Meg Cabot
Kenneth Oppel
Cathy Hopkins
Shirley Climo
Millard Meiss
Duncan J. Watts
Richard P. Feynman
Richard P. Feynman
Pauline Rosenau
Margaret Wise Brown
Frances Hodgson Burnett
Heidi Murkoff
Johanna Spyri
Acton Figueroa
Jewel Kilcher
Lisa Scottoline
Anne Rivers Siddons
Tony Horwitz
Oriah Mountain Dreamer
Jacquelyn Mitchard
Arthur N Schwartz
Gerald M. Knox
Better Homes &amp; Gardens
Gerrald M. Knox
Joyce Trollope
The Vanessa-Ann Collection
Better Homes &amp; Gardens
Better Homes And Gardens Books
Better Homes And Gardens Books
Mary Engelbreit
Better Homes And Gardens Books
Better Homes And Gardens Books
Paige Davis
Deborah Hill
Jane Hissey
Lesl̩a Newman
Ruth Heller
Gary Soto
Patricia Polacco
Walter D. Edmonds
Paula Danziger
Paula Danziger
Janet Taylor Lisle
Tomie DePaola
Robin McKinley
Michael Hoeye
M. E. Bradford
Elizabeth Jolley
Olga Masters
Janette Turner Hospital
Moya Costello
Marianne Wood
N Collins
Nick Earls
Simon Colvey
James Moloney
Nancy Creagh Phelan
Amanda McKay
Barbara Deighton
Jean Stead
Josephine Saxton
Pamela Zoline
Caeia March
Lois Keith
R. Spill
PAUL (ED) ATTERBURY
Hilary Walden
Piers Anthony
Georgeson V
Stuart Gordon
Nown Graham
Anne McCaffrey
Morris L. West
Shirley Worrall
E. V. Thompson
Jarrold Publishing
Robert Smith
Johnny Rogan
Alex Kennedy
Cherie Carter-Smith
Mother Teresa
G. K Kasparov
Raymond D Keene
Guy Damian-Knight
Courtney Davis
Jenny Randles
John M. Cohen
John Davies
Leo Tolstoy
Mike Corbishley
Judith Swaddling
Julian Green
Hubert Selby  Jr.
Nikolaj Frobenius
Glynne Wickham
Editors Of Phaidon Press
Editors Of Phaidon Press
Editors Of Phaidon Press
Steve McCurry
Paul Arden
Martin Gardner
Martin Gardner
D.F. Shriver
P. W. Atkins
Robert M. Sapolsky
Ted Anton
Donald M. Silver
Iain Zaczek
Merebeth Switzer
A. A. Milne
Disney
Karl Marx
Thomas Nelson
Nicci French
Nicci French
Dick Francis
Dick Francis
Janet Evanovich
Kim Woodburn
Brian Vesey-Fitzgerald
J. McNally
Hans Christian Andersen
Ladybird Books
P D James
Saxton Judith
MARLIS WEBER
Rachel Pollack
Mark Payne
The Dalai Lama
Dalai Lama
Beatrix Potter
John Woodforde
Beatrix Potter
Beatrix Potter
Cicely Mary Barker
Beatrix Potter
Olive Etchells
Johanna Lindsey
Ken Catran
George Negus
Peter Fitzsimons
Rand Miller
Edith Wharton
John Peterman
Rosalie Maggio
Microsoft Corporation
Wendell Odom
RH Disney
RH Disney
Helen MacInnes
Jack Higgins
George Orwell
P. D. James
Victoria Holt
Melody Carlson
Billy Sprague
Stormie Omartian
Elizabeth George
Kay Arthur
Roxanne Henke
Janet Farrington Graham
Julian Cassell
Janet Kessel Fletcher
Richard P. Feynman
Viktor E. Frankl
Trent Stephens
William Bridges
W. Ralph Eubanks
Llewellyn
Raymond Buckland
Osborne Phillips
Lo Scarabeo
Piers Anthony
India Edghill
C.J. Beck
S. J. Gaither
Bernard P. Chamberlain
Joe Harnell
Andrew Matzner
Paul Ware
John Grisham
John Grisham
Steven Bochco
Dan Brown
Lauren Weisberger
Dave Pelzer
Mj Rose
William B. Breuer
Marvin Kaye
Kay Hooper
Carlene Thompson
Mary Kay McComas
Lori Foster
Debbie Macomber
T.J. MacGregor
Nora Roberts
Josephine Carlton
Scott Adams
Bill Amend
Patrick McDonnell
Andrews McMeel Publishing
Scott Adams
Jerry Scott
Patrick McDonnell
Aaron McGruder
Leslie Rule
Tim Mikkelsen
Scott Adams
Darby Conley
Jim Borgman
Bradley Trevor Greive
Jim Toomey
Darby Conley
Lisa Birnbach
Alesia Holliday
Darby Conley
Jonathan Pearce
Jonathan Pearce
Jonathan Pearce
Jonathan Pearce
Jonathan Pearce
Pegi Handley
Jonathan Pearce
Jonathan Pearce
Patti G. Fields
Aramis Thorn
Jonathan Pearce
Barbara Watson
Jonathan Pearce
Millenia Black
Austin S. Camacho
Rudyard Kipling
David Quammen
Rita Dove
Richard Vetere
Frank McCourt
Lauralee Summer
Sharon Lamb
Brian Froud
David Gardner
John Dunning
William W. Putney
Goldberry Long
Barbara Robinette Moss
Barbara Robinette Moss
Mel Levine
Ann Rule
Stephen E. Ambrose
Regina McBride
Colm Toibin
Stephen E. Ambrose
Robert Morgan
Ron Liebman
Don DeLillo
Don DeLillo
Bob Woodward
Ellen Pollock
Frank McCourt
James Lee Burke
Melissa De La Cruz
Tom Stone
Bob Woodward
Gary Zukav
Carol Higgins Clark
William F. Weld
Mary Higgins Clark
Mary Higgins Clark
Mary Higgins Clark
Mary Higgins Clark
Mary Higgins Clark
Kathy Lamancusa
Gary Zukav
Terry Ryan
Stephen King
Stephen King
Jimmy Carter
Mary Higgins Clark
Denise Hamilton
Moon Unit Zappa
William Kotzwinkle
Stephen E. Ambrose
Anne Heche
Jo-Ann Mapson
Michael Collins
Nick Thorpe
Peggy Vincent
Peggy Vincent
P. D. James
Monique Roffey
Jeffery Deaver
Jeffery Deaver
Richard Whittingham
Jacob Weisberg
Hillary Rodham Clinton
Jennifer Chiaverini
Susie Bright
Jamie O'Neill
Joshua Gilder
Dr. Phil McGraw
Sylvia Nasar
Jimmy Carter
Tony Parsons
Anita Diamant
Robert Morgan
Annie Proulx
Annie Proulx
Anita Diamant
Stuart Miller
Sarah Duchess Of York
Ann Beattie
Regena Thomashauer
Stephen Glass
Philippa Gregory
Catherine Cookson
Christian Bauman
Tim Winton
Tim Winton
Rose Connors
Jean Thompson
Mary Higgins Clark
Mary Higgins Clark
Pamela Rafael Berkman
Dora Levy Mossanen
Aaron Karo
Larry McMurtry
Kathy Reichs
Steven Emerson
Tim Winton
Greg Iles
C.S. Lewis
Alice Elliott Dark
Erin Hart
Stephen King
Patrick K. O'Donnell
Phil McGraw
A. J. Hill
Ann-Marie MacDonald
Ann-Marie MacDonald
Kaplan
Barbara Bell
John Bruer
Phillip C. McGraw
Monica Ali
Monica Ali
Simon Doonan
Will Randall
Michael Gerber
Mariane Pearl
James Lee Burke
John Galsworthy
Sandra Brown
Philippa Gregory
Sarah Ferguson Duchess Of York
John Dalton
Mary Higgins Clark
James P. Womack
Mark Dunn
Ben Mezrich
Kay Allenbaugh
Rita Konig
John Knowles
Alison Smith
Bob Woodward
Howard Dean
Richard A. Clarke
Alan Paton
Nancy Holder
Yvonne Navarro
Misty Bernall
Shirley MacLaine
Shirley MacLaine
Nicole Luiken
Christian Jacq
Christian Jacq
Christian Jacq
Christian Jacq
Michael Ledwidge
V.C. Andrews
Stel Pavlou
Robert K. Tanenbaum
Susan Mallery
Cathy Cash Spellman
Marc Levy
James Swain
Carolyn Keene
Joy Fielding
Joy Fielding
Joy Fielding
Loren Estleman
Louisa Luna
Kenn Harper
Andrew Carroll
Jude Deveraux
Robert Simpson
Patricia Cabot
Kathy Reichs
Karen Robards
Karen Robards
Peter David
John Dunning
Thomas Scoville
Barbara Delinsky
Barbara Delinsky
Elizabeth Berg
Elizabeth Berg
Elizabeth Berg
Elizabeth Berg
Elizabeth Berg
James Lee Burke
James Lee Burke
Linda Lael Miller
Abby Bardi
Catherine Ryan Hyde
Stephen King
Peter David
Nancy Holder
Mary Higgins Clark
Zelda Lockhart
Andrea Kane
Susan Wilson
Marc Gafni
Michael Gurian
Stephen King
Rebecca Reisert
Jennifer Weiner
Jennifer Weiner
Jennifer Weiner
Jennifer Weiner
Linda Cobb
Jodi Picoult
Jodi Picoult
Christopher Golden
Kat Martin
Thomas J. Stanley
Wei Hui
Iain M. Banks
Iain Pears
Amy Borkowsky
Jodi Picoult
Martha Powers
Julianna Baggott
V.C. Andrews
Patricia MacDonald
Jackie Collins
Harry Harrison
George Martin
Jackie Collins
Caiseal Mor
Stephen King
Julie Parsons
The Dalai Lama
Indu Sundaresan
Todd A. McIntosh
Christopher Golden
Michael Jan Friedman
Michael Jan Friedman
Indu Sundaresan
V.C. Andrews
V.C. Andrews
V.C. Andrews
Jules Hardy
ADRIANA TRIGIANI
Mineko Iwasaki
Richard Paul Evans
Jodi Picoult
Melinda Haynes
Barbara Delinsky
John Le Carre
Laura Shaine Cunningham
Harry Kemelman
George R.R. Martin
David Weber
Lois McMaster Bujold
Stephen King
Stephen King
Steven Piziks
Sara Lewis
Brad Thor
JoAnn Ross
Jude Deveraux
D.J. MacHale
Carolyn Keene
Catherine Ryan Hyde
Carolyn Keene
Jude Deveraux
Carolyn Keene
Jeffery Deaver
Jeffery Deaver
Michael Jan Friedman
Ann Rule
Jan Burke
Julie Reece Deaver
Colin Forbes
Max Allan Collins
Earl Mac Rauch
Rita Rudner
Rita Rudner
Geralyn Dawson
Cheryl Benard
Max Allan Collins
Charles Webb
Mineko Iwasaki
Jan Burke
Glen A. Larson
Greg Bear
Lawrence Block
David R. George III
Heather Jarman
Michael A. Martin
Cathy Maxwell
Joy Fielding
Joy Fielding
Marlo Thomas
Lizzie Simon
Phoebe McPhee
Joy Fielding
Ann Rule
Norma Khouri
James Lee Burke
Greg Bear
Kathy Reichs
Karen Robards
Greg Iles
Jodi Picoult
Stephen King
Christina Dodd
David Bergantino
Johanna Lindsey
John Connolly
John Connolly
Indu Sundaresan
Marco Palmieri
Carol Higgins Clark
Neale Donald Walsch
Jude Deveraux
Stephen King
Maeve Binchy
Suzann Ledbetter
Susan Wright
Stephen Booth
John Le Carre
Fern Michaels
Fern Michaels
Per Olov Enquist
Maddy Hunter
Robert Silverberg
Byron Preiss
Richard A. Lupoff
Harry Kemelman
Greg Bear
Mary Higgins Clark
Susan Wilson
Jacob Weisberg
Pamela Redmond Satran
Anthony O'Neill
Elise Juska
Julia London
Ann-Marie MacDonald
Jayne Ann Krentz
JoAnn Ross
Linda Fairstein
Linda Howard
Stephen King
Carol Grace
Diane Carey
Nick Redfern
Pamela Ribon
Barbara Delinsky
Liz Carlyle
Christopher Rice
Martin Scott
Eric Flint
Eric Flint
Danielle Steel
Julie Garwood
Robert McCammon
Robert Bloch
Karen Haber
Linda Howard
Christine Feehan
Jude Deveraux
Roxanne St. Claire
William Shakespeare
Jude Deveraux
Elaine Moore
Max Allan Collins
Denise Hamilton
Patricia Harwin
Linda Howard
Maeve Binchy
Dan Brown
Roger Zelazny
Andre Norton
Whitley Strieber
Phil McGraw
Keith R. A. DeCandido
Kevin Ryan
Peter David
Andre West
Penny Dale
Deborah Cartmell
Milan Rai
James Houston
Jan Karon
Angela Wilkes
Anne Civardi
Harriet Castor
Stuart Atkinson
Phil Roxbee-Cox
Judy Tatchell
Heather Amery
Leslie Colvin
Paul Harding
Edith Pargeter
Edith Pargeter
Edith Pargeter
Edith Pargeter
Edith Pargeter
Richard Laymon
Quintin Jardine
Josephine Cox
JILL MANSELL
Lyn Andrews
Paul Doherty
Michael Jecks
Quintin Jardine
Liu Hong
Quintin Jardine
Josephine Cox
Wendy Holden
Jeremy Dronfield
Sue Margolis
Roderick Anscombe
Eric Thompson
Rupert Thomson
Edward Gorey
Richard Price
Jimmy Burns
Ahdaf Soueif
Victoria Griffin
ANNA PAVORD
Robin Moore
Hubert Selby
Benjamin Zephaniah
Rebecca Smith
Lillian Too
Alan Durband
Stuart Pawson
Jonathan Havard
Shane And Sheridan
C.David Heymann
Norman Vincent Peale
Graham Masterton
Jayne Ann Krentz
Barbara Delinsky
Deborah Moggach
Peter Ackroyd
Sara Maitland
Nino Ricci
Susanna Tamaro
Bill Bryson
Franz Kafka
Sue Bishop
David Hussey
Ellen Blake Dr.
Penelope Lively
Enid Blyton
Michael Morpurgo
Robert Westall
Enid Blyton
Rev. W. Awdry
Christopher Awdry
Emma Chichester Clark
Marianne Macdonald
Jamila Gavin
Enid Blyton
Enid Blyton
Lynne Reid Banks
Z. Barnes
Douglas Lindsay
Catherine Jones
Luanne Rice
Inga Moore
Angela Sommer-Bodenburg
Robin Jarvis
Moira Kemp Mathew Price
Robin Jarvis
Jean Estoril
Gower
Kitty Ray
Raymond Lamont-Brown
James Gurney
Shaun Hutson
Douglas Wynn
Barrett
Bill Bryson
Geoffrey Butcher
Donada Peters
Margaret Yorke
Margaret Yorke
Teresa Crane
Ellis Peters
Jeffrey Robinson
Tom Holland
Miriam Ali
Emma Blair
Alan Aldrich
Edwina Currie
Edwina Currie
Storm Constantine
Ghillie Basan
Sandi Toksvig
C.J. Anders
Michael Smith
Purple Ronnie
Chris Spink
Robert Burns
Parragon
Simon Kuper
Rand Flem Ath
Chris Kitch
Maeve Binchy
Greg Egan
Mccullough Colleen
Dave Pelzer
David J. Pelzer
Ian Rankin
Jim Lusby
Ian Rankin
Ian Rankin
Albert Uderzo
Louise Bagshawe
Graeme Garden
Ian Rankin
Ian Rankin
Marion Crawford
Terry Pratchett
Jules Watson
Michael Crichton
Amanda O'Neill
Sam McBratney
Caroline Hamilton
Sir Richard Branson
Nigel Cawthorne
Wilkie Collins
Bernhard Schlink
Marianne Fredriksson
Jostein Gaarder
John Boyne
Annie Hawes
Louise Gherasim
Stewart And Sally Walton
Maggie O'Farrell
Roisin McAuley
Piers Dudgeon
Kate Adie
Mickey Zucker Reichert
Kate Elliott
Mercedes Lackey
Marjorie B. Kellogg
Kate Elliott
Martin H. Greenberg
Jennifer Roberson
Jude Fisher
Tad Williams
Tanya Huff
Jude Fisher
S. Andrew Swann
Jack Canfield
Jack Canfield
Jack Canfield
Jack Canfield
Joan Elizabeth Lloyd
Laura Levine
Paul Monette
Rob Byrnes
Joanne Fluke
Reverend Al Sharpton
Emma Gold
Emma Gold
Janelle Denison
Linda Lenhoff
Lori Foster
Shannon McKenna
Gabrielle Williams
Jacqueline DeMontravel
Nancy Springer
Ray Garton
W.S. Milner
Jonathan Pearce
Pauline Tai
George  B. Addison
Lian Frost
Kate Douglas
Edith Wharton
Jane Austen
James Madison
Mike Ashley
Jonathan Dee
John McCollister
Michelle Lovric
E. Nesbitt
Beverly Mills
Judy Rosenberg
Jack Moore
Dorothy Law Nolte Ph.D.
Bonnie Timmons
Rose Marie Nichols McGee
Harry H. Harrison Jr.
Anna Johnson
Heidi Murkoff
Marti Olsen Laney Psy.D.
Heidi Murkoff
Harry H. Harrison Jr.
Sheila Lukins
Jenny Lee
Cynthia Grant
Laura Vaccaro Seeger
Mimi Luebbermann
Nancy Lee Teaff M.D.
Richard Poe
Martin Edic
Doris Cross
Mark Yarnell
David Chilton
Daniella Chace
Linda Dobson
Bobbie Hinman
Ingrid Newkirk
Miriam Sokol
Cafi Cohen
Ann Thornhill
Linda Dobson
Rick Barba
David Chong
David Chong
Linda Barker
Ira Levin
Scott Turow
Rex Stout
Judy Wicks
Tom Folley
Tom Folley
Steve Moss
Running Press
Edgar Allan Poe
Steve Moss
Jayne Wexler
Jay R. Montavon
Jennifer Worick
Pat Croce
Deborah Grandinetti
Daniel Defoe
Karin Wuertz-Schaefer
Sara Pitzer
John Marino
Myrna Oakley
Randy Hall
Iona Opie
Michael J. Rosen
M. T. Anderson
Penny Dale
Kate DiCamillo
Ron Koertge
Kate Dicamillo
Celia Rees
Nicola De Pulford
Yvonne Rees
Kristen Heitzmann
Kristen Heitzmann
Janette Oke
Janette Oke
Janette Oke
T. Davis Bunn
Beverly Lewis
Beverly Lewis
T. Davis Bunn
T. Davis Bunn
Janette Oke
Beverly Lewis
Beverly Lewis
Sigmund Brouwer
Janette Oke
Tracie Peterson
Janette Oke
